objection_id,learner_id,session_registration,level,round_number,objection_type,response_option,score,compliance_flag,response_time_seconds,objection_timestamp,raw_statement_id
00000000-0000-4000-8000-000000000086,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,11,OBJ_14,objection-response-opt-a,67,safe,18,2026-09-15T09:34:16.000Z,00000000-0000-4000-8000-000000000086
00000000-0000-4000-8000-000000000088,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,11,OBJ_15,objection-response-opt-a,67,safe,18,2026-09-15T09:34:40.000Z,00000000-0000-4000-8000-000000000088
00000000-0000-4000-8000-00000000008a,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,11,OBJ_16,objection-response-opt-a,67,safe,18,2026-09-15T09:35:04.000Z,00000000-0000-4000-8000-00000000008a
00000000-0000-4000-8000-000000000091,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,12,OBJ_17,objection-response-opt-a,67,safe,18,2026-09-15T09:36:38.000Z,00000000-0000-4000-8000-000000000091
00000000-0000-4000-8000-000000000093,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,12,OBJ_18,objection-response-opt-a,33,safe,18,2026-09-15T09:37:02.000Z,00000000-0000-4000-8000-000000000093
00000000-0000-4000-8000-00000000009a,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,13,OBJ_19,objection-response-opt-a,100,safe,18,2026-09-15T09:38:36.000Z,00000000-0000-4000-8000-00000000009a
00000000-0000-4000-8000-00000000009c,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,13,OBJ_15,objection-response-opt-a,67,safe,18,2026-09-15T09:39:00.000Z,00000000-0000-4000-8000-00000000009c
00000000-0000-4000-8000-00000000009e,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,13,OBJ_20,objection-response-opt-a,67,safe,18,2026-09-15T09:39:24.000Z,00000000-0000-4000-8000-00000000009e
00000000-0000-4000-8000-0000000000a5,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,14,OBJ_19,objection-response-opt-a,67,safe,18,2026-09-15T09:40:58.000Z,00000000-0000-4000-8000-0000000000a5
00000000-0000-4000-8000-0000000000a7,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,14,OBJ_14,objection-response-opt-a,33,safe,18,2026-09-15T09:41:22.000Z,00000000-0000-4000-8000-0000000000a7
00000000-0000-4000-8000-0000000000a9,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,14,OBJ_20,objection-response-opt-a,33,safe,18,2026-09-15T09:41:46.000Z,00000000-0000-4000-8000-0000000000a9
00000000-0000-4000-8000-0000000000ab,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,14,OBJ_16,objection-response-opt-a,33,safe,18,2026-09-15T09:42:10.000Z,00000000-0000-4000-8000-0000000000ab
00000000-0000-4000-8000-0000000000b2,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,15,OBJ_13,objection-response-opt-a,33,safe,18,2026-09-15T09:43:44.000Z,00000000-0000-4000-8000-0000000000b2
00000000-0000-4000-8000-0000000000b4,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,15,OBJ_21,objection-response-opt-c,0,borderline,18,2026-09-15T09:44:08.000Z,00000000-0000-4000-8000-0000000000b4
00000000-0000-4000-8000-0000000000bb,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,16,OBJ_16,objection-response-opt-a,67,safe,18,2026-09-15T09:45:42.000Z,00000000-0000-4000-8000-0000000000bb
00000000-0000-4000-8000-0000000000bd,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,16,OBJ_13,objection-response-opt-a,33,safe,18,2026-09-15T09:46:06.000Z,00000000-0000-4000-8000-0000000000bd
00000000-0000-4000-8000-0000000000bf,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,16,OBJ_21,objection-response-opt-a,33,safe,18,2026-09-15T09:46:30.000Z,00000000-0000-4000-8000-0000000000bf
00000000-0000-4000-8000-0000000000c6,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,17,OBJ_17,objection-response-opt-a,100,safe,18,2026-09-15T09:48:04.000Z,00000000-0000-4000-8000-0000000000c6
00000000-0000-4000-8000-0000000000c8,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,17,OBJ_18,objection-response-opt-a,67,safe,18,2026-09-15T09:48:28.000Z,00000000-0000-4000-8000-0000000000c8
00000000-0000-4000-8000-0000000000cf,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,18,OBJ_17,objection-response-opt-a,67,safe,18,2026-09-15T09:50:02.000Z,00000000-0000-4000-8000-0000000000cf
00000000-0000-4000-8000-0000000000d1,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,18,OBJ_18,objection-response-opt-a,33,safe,18,2026-09-15T09:50:26.000Z,00000000-0000-4000-8000-0000000000d1
00000000-0000-4000-8000-0000000000d8,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,19,OBJ_17,objection-response-opt-a,100,safe,18,2026-09-15T09:52:00.000Z,00000000-0000-4000-8000-0000000000d8
00000000-0000-4000-8000-0000000000da,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,19,OBJ_18,objection-response-opt-a,67,safe,18,2026-09-15T09:52:24.000Z,00000000-0000-4000-8000-0000000000da
00000000-0000-4000-8000-0000000000e1,BK-1234,b7a1e7d0-3f9d-4c4e-9a01-000000000001,level-2,20,OBJ_22,objection-response-opt-a,100,safe,18,2026-09-15T09:53:58.000Z,00000000-0000-4000-8000-0000000000e1
